JobNo,JobDate,BillNo,BillDate,Shipping Bill No/BOE NO,Shipper,Consignee,DESTINATION,COUNTRY,InvNo_Dt,SB/BE NO,SB/BE Date,HAWBNO,HAWB_DATE,MAWBNO,MAWB_DATE,Flight No,Flight Date,No of Pkg,Net wt,Net Wt UOM,GROSS_WEIGHT,GROSS_WEIGHTUNIT,Value in Us$,Value in INR,Agency,REIMBURS,TaxTotal,Total,TaxableValue,IGSTAMOUNT,AGENT,DESCRIPTION
KI006456            ,12/1/2022,2723BKCIMP056768,12/12/2022,3565470-02.12.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3565470-02.12.2022,12/1/2022,7884724,12/1/2022,125 53232141,12/1/2022,BA 139,12/3/2022,1,24.62,CTM       ,0.45,KG  ,37442.88,3697484,5550,0,999,6549,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006353            ,11/28/2022,2723BKCIMP056785,12/12/2022,3539919-30.11.2022,NIVODA LLP,NIVODA LLP,DXB,U.A.E.              ,,3539919-30.11.2022,11/28/2022,3210-0246252,11/26/2022,176 55831904,11/26/2022,EK 504,11/28/2022,1,1.5,CTM       ,0.2,KG  ,1166.48,96351,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006701            ,12/10/2022,2723BKCIMP058249,12/17/2022,3707702-12.12.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3707702-12.12.2022,12/10/2022,34050450240,12/10/2022,176 54843250,12/10/2022,,12/12/2022,1,1.15,CTM       ,0.2,KG  ,2641.01,216563,3550,0,639,4189,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006816            ,12/14/2022,2723BKCIMP059457,12/22/2022,3754606-15.12.22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3754606-15.12.22,12/14/2022,1101-5044172,12/13/2022,724 26623354,12/13/2022,LX 154,12/15/2022,1,55.72,CTM       ,0.2,KG  ,58773.65,4819439,3550,0,639,4189,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006878            ,12/16/2022,2723BKCIMP059661,12/23/2022,3785911-17.12.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3785911-17.12.2022,12/16/2022,7884930,12/15/2022,724 26817641,12/15/2022,LX 154,12/17/2022,1,10.31,CTM       ,0.2,KG  ,9548.48,994952,3550,0,639,4189,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI006873            ,12/16/2022,2723BKCIMP061325,12/30/2022,3785838-17.12.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3785838-17.12.2022,12/16/2022,7884931,12/15/2022,724 26817641,12/15/2022,LX 154,12/17/2022,1,20.87,CTM       ,0.2,KG  ,15650.44,1630776,2550,0,459,3009,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007104            ,12/23/2022,2723BKCIMP061333,12/30/2022,3896931-24.12.2022,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3896931-24.12.2022,12/23/2022,7885098,12/22/2022,724 26818142,12/22/2022,,12/24/2022,1,20.1,CTM       ,0.2,KG  ,12463.71,1298719,2550,0,459,3009,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007219            ,12/28/2022,2723BKCIMP061793,1/4/2023,3945681-28-12-22,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,3945681-28-12-22,12/28/2022,11015071805,12/28/2022,724 27431084,12/28/2022,,12/30/2022,1,38.72,CTM       ,0.54,KG  ,50924.18,4254715,5050,0,909,5959,,,BR    ,ROUGH SYNTHETIC STONE
KI007103            ,12/23/2022,2723BKCIMP061956,1/6/2023,3897485-24-12-22,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,3897485-24-12-22,12/23/2022,7885097,12/22/2022,724 26818142,12/22/2022,,12/24/2022,1,3.5,CTM       ,0.2,KG  ,2204.16,229673,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007226            ,12/28/2022,2723BKCIMP061982,1/6/2023,3961396-29.12.2022,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,3961396-29.12.2022,12/28/2022,3405-0451265,12/27/2022,176 56978401,12/27/2022,,12/29/2022,1,12.08,CTM       ,0.2,KG  ,13529.11,1130357,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007507            ,1/11/2023,2723BKCIMP064902,1/20/2023,4132786-11-01-23,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4132786-11-01-23,1/11/2023,1101-5093489,1/11/2023,724 27431891,1/11/2023,,1/13/2023,1,20.2,CTM       ,0.2,KG  ,13876.86,1161493,5050,0,909,5959,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007511            ,1/11/2023,2723BKCIMP065039,1/20/2023,4137901-11.01.23,NIVODA LLP,NIVODA LLP,LHR,GB                  ,,4137901-11.01.23,1/11/2023,7885199,1/10/2023,125 53232325,1/10/2023,BA 139,1/12/2023,1,109.26,CTM       ,0.2,KG  ,63080.51,6399518,5050,0,909,5959,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007519            ,1/12/2023,2723BKCIMP065331,1/23/2023,4145890-12.01.2023,NIVODA LLP,NIVODA LLP,HKG,HONG KONG           ,,4145890-12.01.2023,1/11/2023,3405-0452106,1/12/2023,176 56587300,1/12/2023,EK 504,1/14/2023,1,3.13,CTM       ,0.2,KG  ,2988.78,250161,4550,0,819,5369,,,BR    ,CUT AND POLISHED DIAMONDS
KI007724            ,1/20/2023,2723BKCIMP066032,1/27/2023,4291298-21.01.2023,NIVODA LLP,NIVODA LLP,NYC,U.S.A.              ,,4291298-21.01.2023,1/20/2023,1101-5109979,1/19/2023,724 27432786,1/19/2023,LX 154,1/21/2023,1,23.88,CTM       ,0.2,KG  ,17751.41,1460941,4550,0,819,5369,,,BR    ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
KI007838            ,1/24/2023,2723BKCIMP066836,1/30/2023,4339802-24.01.2023,NIVODA LLP,NIVODA LLP,LHR,GB                  ,,4339802-24.01.2023,1/24/2023,7885419,1/24/2023,125 53232605,1/24/2023,,1/26/2023,1,20.63,CTM       ,0.7,KG  ,11963.22,1221445,4550,0,819,5369,,,MAL   ,ROUGH SYNTHETIC STONE
KI007893            ,1/27/2023,2723BKCIMP068565,2/7/2023,4378876-27.01.2023,NIVODA LLP,NIVODA LLP,LON,GREAT BRITAIN       ,,4378876-27.01.2023,1/27/2023,7885466,1/26/2023,125 53232664,1/26/2023,BA 139,1/28/2023,1,16.79,CTM       ,0.2,KG  ,14845.37,1515712,4550,0,819,5369,,,MAL   ,RE IMPORTS GOODS OF CUT AND POLISHED DIAMONDS
