,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NIVODA LLP  - 01/01/2022   TO  30/04/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr. No.,Out MAWB,Execution Date,HAWB #,PU Date,SHIPPER NAME,CONSIGNEE NAME,Dest. Site Code,Dest. Site Country,Service Type, Customs Value $ USD,GRS WT,PKG.,Air Frt Chrgs,Hawb Fees,EU Chg.,Wt. Chg.,Val. Chg. ,CDC Charges,Handling charges,Ser. Tax,ACC Charges,Ground support charge,ETC CHANGES AIRLINE,Security Surcharges,Val Charges,Add Valuation,ASI Charges,Total Revenue INR,Frt. Collect in $”,
47,074 5114 7703,11/02/22,99013652749,10/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$104,281",4.79 KG,2,4600,,1100,7200,8,,,, 270.00 ,,, 200.00 , 500.00 , 783.15 , 285.00 ,14946.15,,
48,176 3352 6161,11/02/22,99013653075,11/02/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$16,995",0.41 KG,1,5600,,,,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 127.65 , 285.00 ,7710.65,,
49,125 9579 1032,11/02/22,99013653032,11/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$58,595",3.57 KG,2,5800,,800,4500,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 440.00 , 285.00 ,22803,,
50,074 5114 7703,11/02/22,99013653113,11/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$79,996",2.77 KG,1,4600,,1100,3600,8,,,, 270.00 ,,, 200.00 , 500.00 , 600.69 , 285.00 ,11163.69,,
51,125 9579 1043,14/02/22,99013653415,14/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$156,119",6.25 KG,3,5800,,800,8250,8,,10000,, 270.00 ,,, 200.00 , 500.00 ," 1,172.10 ", 285.00 ,27285.1,,
52,176 3352 6150,15/02/22,99013653389,14/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$166,152",4.86 KG,2,4600,,,7200,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 ," 1,247.94 ", 285.00 ,15030.94,,
53,176 3352 6150,15/02/22,99013653673,15/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$47,933",2.46 KG,1,4600,,,2700,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 359.66 , 285.00 ,9642.66,,
54,724 2112 5845,18/02/22,99013653986,16/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$44,751",2.26 KG,1,4600,,900,2700,8,,,, 270.00 ,,, 200.00 , 500.00 , 336.39 , 285.00 ,9799.39,,
55,176 3352 6220,18/02/22,99013654231,17/02/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$13,900",0.98 KG,1,5600,,,,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 104.37 , 285.00 ,7687.37,,
56,176 3352 6275,19/02/22,99013654290,17/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$118,569",3.85 KG,2,4600,,,5400,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 890.53 , 285.00 ,12873.53,,
57,618 4640 8504,21/02/22,99013654784,18/02/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$16,678",0.50 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 126.07 , 285.00 ,5489.07,,
58,176 3352 6275,19/02/22,99013654542,18/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$94,857",4.11 KG,2,4600,,,6300,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 712.57 , 285.00 ,13595.57,,
59,724 2112 6184,21/02/22,99013654817,19/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$28,466",1.91 KG,1,5800,,900,1500,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 215.14 , 285.00 ,19678.14,,
60,724 2112 6140,21/02/22,99013654993,21/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$174,520",5.41 KG,2,4600,,900,8100,8,,,, 270.00 ,,, 200.00 , 500.00 ," 1,317.27 ", 285.00 ,16180.27,,
61,176 3352 6290,22/02/22,99013655227,22/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$81,474",4.10 KG,2,4600,,,6300,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 615.23 , 285.00 ,13498.23,,
62,724 2112 6276,25/02/22,99013655480,23/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$80,551",2.83 KG,1,4600,,900,3600,8,,,, 270.00 ,,, 200.00 , 500.00 , 608.43 , 285.00 ,10971.43,,
63,514 0557 4306,24/02/22,99013655697,24/02/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$29,611",1.06 KG,1,5600,,,375,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 223.45 , 285.00 ,8181.45,,
64,618 4640 8644,26/02/22,99013655929,24/02/22,NIVODA LLP,NIVODA HK LIMITED,3405,HONG KONG,BDB STRONG ROOM TO DOOR,"$28,609",0.50 KG,1,4100,,,,8,,,, 270.00 ,,, 200.00 , 500.00 , 215.90 , 285.00 ,5578.9,,
65,724 2112 6276,25/02/22,99013655718,24/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$75,210",3.45 KG,2,4600,,900,4500,8,,,, 270.00 ,,, 200.00 , 500.00 , 567.67 , 285.00 ,11830.67,,
66,176 3506 9801,26/02/22,99013656019,25/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$99,636",4.06 KG,2,4600,,,6300,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 751.86 , 285.00 ,13634.86,,
67,125 9579 1183,26/02/22,99013656302,26/02/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$63,236",4.00 KG,2,5800,,800,4500,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 477.08 , 285.00 ,22840.08,,
68,176 3506 9860,01/03/22,99013656277,26/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$176,716",3.30 KG,2,4600,,,4500,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 ," 1,344.97 ", 285.00 ,12427.97,,
69,176 3506 9860,01/03/22,99013656573,28/02/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$67,049",3.96 KG,2,4600,,,5400,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 509.98 , 285.00 ,12492.98,,
70,514 0559 8972,02/03/22,99013656794,01/03/22,NIVODA LLP,DIAMOND ROCKS TRADING DMCC,3210,DUBAI,BDB STRONG ROOM TO DOOR,"$37,204",0.64 KG,1,5600,,,,8,,,, 270.00 ,, 720.00 , 200.00 , 500.00 , 283.15 , 285.00 ,7866.15,,
71,125 9579 1216,02/03/22,99013656942,02/03/22,NIVODA LLP,NIVODA LIMITED,3710,LONDON,BDB STRONG ROOM TO DOOR,"$98,661",5.85 KG,3,5800,,800,7500,8,,10000,, 270.00 ,,, 200.00 , 500.00 , 751.26 , 285.00 ,26114.26,,
72,724 2113 0255,04/03/22,99013656931,02/03/22,NIVODA LLP,NIVODA USA LLC,969,NEW YORK,BDB STRONG ROOM TO DOOR,"$126,359",4.68 KG,2,4600,,900,7200,8,,,, 270.00 ,,, 200.00 , 500.00 , 962.11 , 285.00 ,14925.11,,
